crop,segment_id,series_id,geas_version,episode_date,episode_id,episode_start,episode_end,n_rows,coverage,is_valid_episode,split
strawberry,iot97_strawberry_geas2_0_seg01,strawberry_geas2_0,2.0,2024-03-13,iot97_strawberry_geas2_0_seg01_20240313,2024-03-13 05:20:00,2024-03-13 23:55:00,224,0.7777777777777778,False,
strawberry,iot97_strawberry_geas2_0_seg01,strawberry_geas2_0,2.0,2024-03-14,iot97_strawberry_geas2_0_seg01_20240314,2024-03-14 00:00:00,2024-03-14 19:30:00,235,0.8159722222222222,False,
strawberry,iot97_strawberry_geas2_0_seg02,strawberry_geas2_0,2.0,2024-03-15,iot97_strawberry_geas2_0_seg02_20240315,2024-03-15 08:40:00,2024-03-15 23:55:00,184,0.6388888888888888,False,
strawberry,iot97_strawberry_geas2_0_seg02,strawberry_geas2_0,2.0,2024-03-16,iot97_strawberry_geas2_0_seg02_20240316,2024-03-16 00:00:00,2024-03-16 23:55:00,288,1.0,True,train
strawberry,iot97_strawberry_geas2_0_seg02,strawberry_geas2_0,2.0,2024-03-17,iot97_strawberry_geas2_0_seg02_20240317,2024-03-17 00:00:00,2024-03-17 23:55:00,288,1.0,True,train
strawberry,iot97_strawberry_geas2_0_seg02,strawberry_geas2_0,2.0,2024-03-18,iot97_strawberry_geas2_0_seg02_20240318,2024-03-18 00:00:00,2024-03-18 23:55:00,288,1.0,True,train
strawberry,iot97_strawberry_geas2_0_seg02,strawberry_geas2_0,2.0,2024-03-19,iot97_strawberry_geas2_0_seg02_20240319,2024-03-19 00:00:00,2024-03-19 23:55:00,288,1.0,True,train
strawberry,iot97_strawberry_geas2_0_seg02,strawberry_geas2_0,2.0,2024-03-20,iot97_strawberry_geas2_0_seg02_20240320,2024-03-20 00:00:00,2024-03-20 23:55:00,288,1.0,True,train
strawberry,iot97_strawberry_geas2_0_seg02,strawberry_geas2_0,2.0,2024-03-21,iot97_strawberry_geas2_0_seg02_20240321,2024-03-21 00:00:00,2024-03-21 10:30:00,127,0.4409722222222222,False,
strawberry,iot97_strawberry_geas2_0_seg03,strawberry_geas2_0,2.0,2024-03-21,iot97_strawberry_geas2_0_seg03_20240321,2024-03-21 10:50:00,2024-03-21 23:55:00,158,0.5486111111111112,False,
strawberry,iot97_strawberry_geas2_0_seg03,strawberry_geas2_0,2.0,2024-03-22,iot97_strawberry_geas2_0_seg03_20240322,2024-03-22 00:00:00,2024-03-22 23:55:00,288,1.0,True,train
strawberry,iot97_strawberry_geas2_0_seg03,strawberry_geas2_0,2.0,2024-03-23,iot97_strawberry_geas2_0_seg03_20240323,2024-03-23 00:00:00,2024-03-23 23:55:00,288,1.0,True,train
strawberry,iot97_strawberry_geas2_0_seg03,strawberry_geas2_0,2.0,2024-03-24,iot97_strawberry_geas2_0_seg03_20240324,2024-03-24 00:00:00,2024-03-24 23:55:00,288,1.0,True,train
strawberry,iot97_strawberry_geas2_0_seg03,strawberry_geas2_0,2.0,2024-03-25,iot97_strawberry_geas2_0_seg03_20240325,2024-03-25 00:00:00,2024-03-25 23:55:00,288,1.0,True,train
strawberry,iot97_strawberry_geas2_0_seg03,strawberry_geas2_0,2.0,2024-03-26,iot97_strawberry_geas2_0_seg03_20240326,2024-03-26 00:00:00,2024-03-26 23:55:00,288,1.0,True,train
strawberry,iot97_strawberry_geas2_0_seg03,strawberry_geas2_0,2.0,2024-03-27,iot97_strawberry_geas2_0_seg03_20240327,2024-03-27 00:00:00,2024-03-27 23:55:00,288,1.0,True,train
strawberry,iot97_strawberry_geas2_0_seg03,strawberry_geas2_0,2.0,2024-03-28,iot97_strawberry_geas2_0_seg03_20240328,2024-03-28 00:00:00,2024-03-28 23:55:00,288,1.0,True,train
strawberry,iot97_strawberry_geas2_0_seg03,strawberry_geas2_0,2.0,2024-03-29,iot97_strawberry_geas2_0_seg03_20240329,2024-03-29 00:00:00,2024-03-29 23:55:00,288,1.0,True,train
strawberry,iot97_strawberry_geas2_0_seg03,strawberry_geas2_0,2.0,2024-03-30,iot97_strawberry_geas2_0_seg03_20240330,2024-03-30 00:00:00,2024-03-30 23:55:00,288,1.0,True,train
strawberry,iot97_strawberry_geas2_0_seg03,strawberry_geas2_0,2.0,2024-03-31,iot97_strawberry_geas2_0_seg03_20240331,2024-03-31 00:00:00,2024-03-31 23:55:00,288,1.0,True,train
strawberry,iot97_strawberry_geas2_0_seg03,strawberry_geas2_0,2.0,2024-04-01,iot97_strawberry_geas2_0_seg03_20240401,2024-04-01 00:00:00,2024-04-01 23:55:00,288,1.0,True,train
strawberry,iot97_strawberry_geas2_0_seg03,strawberry_geas2_0,2.0,2024-04-02,iot97_strawberry_geas2_0_seg03_20240402,2024-04-02 00:00:00,2024-04-02 23:55:00,288,1.0,True,train
strawberry,iot97_strawberry_geas2_0_seg03,strawberry_geas2_0,2.0,2024-04-03,iot97_strawberry_geas2_0_seg03_20240403,2024-04-03 00:00:00,2024-04-03 08:40:00,105,0.3645833333333333,False,
strawberry,iot97_strawberry_geas2_0_seg04,strawberry_geas2_0,2.0,2024-04-03,iot97_strawberry_geas2_0_seg04_20240403,2024-04-03 10:00:00,2024-04-03 23:55:00,168,0.5833333333333334,False,
strawberry,iot97_strawberry_geas2_0_seg04,strawberry_geas2_0,2.0,2024-04-04,iot97_strawberry_geas2_0_seg04_20240404,2024-04-04 00:00:00,2024-04-04 23:55:00,288,1.0,True,train
strawberry,iot97_strawberry_geas2_0_seg04,strawberry_geas2_0,2.0,2024-04-05,iot97_strawberry_geas2_0_seg04_20240405,2024-04-05 00:00:00,2024-04-05 23:55:00,288,1.0,True,train
strawberry,iot97_strawberry_geas2_0_seg04,strawberry_geas2_0,2.0,2024-04-06,iot97_strawberry_geas2_0_seg04_20240406,2024-04-06 00:00:00,2024-04-06 23:55:00,288,1.0,True,train
strawberry,iot97_strawberry_geas2_0_seg04,strawberry_geas2_0,2.0,2024-04-07,iot97_strawberry_geas2_0_seg04_20240407,2024-04-07 00:00:00,2024-04-07 23:30:00,283,0.9826388888888888,True,train
strawberry,iot97_strawberry_geas2_0_seg05,strawberry_geas2_0,2.0,2024-04-08,iot97_strawberry_geas2_0_seg05_20240408,2024-04-08 08:50:00,2024-04-08 23:55:00,182,0.6319444444444444,False,
strawberry,iot97_strawberry_geas2_0_seg05,strawberry_geas2_0,2.0,2024-04-09,iot97_strawberry_geas2_0_seg05_20240409,2024-04-09 00:00:00,2024-04-09 23:55:00,288,1.0,True,train
strawberry,iot97_strawberry_geas2_0_seg05,strawberry_geas2_0,2.0,2024-04-10,iot97_strawberry_geas2_0_seg05_20240410,2024-04-10 00:00:00,2024-04-10 23:55:00,288,1.0,True,train
strawberry,iot97_strawberry_geas2_0_seg05,strawberry_geas2_0,2.0,2024-04-11,iot97_strawberry_geas2_0_seg05_20240411,2024-04-11 00:00:00,2024-04-11 23:55:00,288,1.0,True,train
strawberry,iot97_strawberry_geas2_0_seg05,strawberry_geas2_0,2.0,2024-04-12,iot97_strawberry_geas2_0_seg05_20240412,2024-04-12 00:00:00,2024-04-12 23:55:00,288,1.0,True,train
strawberry,iot97_strawberry_geas2_0_seg05,strawberry_geas2_0,2.0,2024-04-13,iot97_strawberry_geas2_0_seg05_20240413,2024-04-13 00:00:00,2024-04-13 23:55:00,288,1.0,True,train
strawberry,iot97_strawberry_geas2_0_seg05,strawberry_geas2_0,2.0,2024-04-14,iot97_strawberry_geas2_0_seg05_20240414,2024-04-14 00:00:00,2024-04-14 23:55:00,288,1.0,True,train
strawberry,iot97_strawberry_geas2_0_seg05,strawberry_geas2_0,2.0,2024-04-15,iot97_strawberry_geas2_0_seg05_20240415,2024-04-15 00:00:00,2024-04-15 23:55:00,288,1.0,True,train
strawberry,iot97_strawberry_geas2_0_seg05,strawberry_geas2_0,2.0,2024-04-16,iot97_strawberry_geas2_0_seg05_20240416,2024-04-16 00:00:00,2024-04-16 23:55:00,288,1.0,True,train
strawberry,iot97_strawberry_geas2_0_seg05,strawberry_geas2_0,2.0,2024-04-17,iot97_strawberry_geas2_0_seg05_20240417,2024-04-17 00:00:00,2024-04-17 23:55:00,288,1.0,True,train
strawberry,iot97_strawberry_geas2_0_seg05,strawberry_geas2_0,2.0,2024-04-18,iot97_strawberry_geas2_0_seg05_20240418,2024-04-18 00:00:00,2024-04-18 23:55:00,288,1.0,True,train
strawberry,iot97_strawberry_geas2_0_seg05,strawberry_geas2_0,2.0,2024-04-19,iot97_strawberry_geas2_0_seg05_20240419,2024-04-19 00:00:00,2024-04-19 23:55:00,288,1.0,True,train
